Day Of July,AMD,Intel,Ryzen,Core I9
1,18,45,19,2
2,75,45,22,3
3,76,45,21,3
4,67,42,19,3
5,79,39,24,3
6,70,36,25,2
7,100,39,77,5
8,97,53,57,3
9,97,55,39,3
